Identifiant géographique / Asset location;Longueur / length (km);IST_E1 (Amp);IST_IS1 (Amp);IST_IS2 (Amp);IST_H1 (Amp);Rd (Ohm);Xd (Ohm);Hd/2 (µS);Cd (nF)
LIT 225kV N0 1 CALAN - POTEAU-ROUGE;6800;1110;1110;1403;1403;0,104;1,067;254,473;1620,028
LIT 400kV N0 1 CALAN - CORDEMAIS-POSTE;141416;2200;2300;2300;2400;4,186;42,432;262,918;1673,787
LIT 400kV N0 1 CALAN - MARTYRE (LA);98335;2862;2920;2920;3020;2,953;29,941;185,413;1180,375
LIT 225kV N0 1 CANTEGRIT-MARSILLON;77402;997;1096;1096;1155;4,678;30,486;111,007;706,69
LIT 225kV NO 1 CANTEGRIT-MOUGUERRE;83100;1884;1890;1890;1890;4,563;33,778;117,743;749,573
LIT 225kV NO 1 CANTEGRIT-NAOUTOT;38208;935;1000;;1080;2,296;15,425;54,471;346,771
LIT 225kV NO 2 CANTEGRIT-NAOUTOT;36790;845;925;;1005;2,188;14,696;51,871;330,222
LIT 400kV NO 2 CANTEGRIT-SAUCATS;71885;2690;2822;2822;2936;1,96;25,406;120,523;767,276
LIT 400kV N0 3 CANTEGRIT - SAUCATS;71813;2690;2822;2822;2936;1,939;25,135;119,233;759,063
LIT 225kV NO 1 CAPELLE (LA)-PONT-SUR-SAMBRE;30470;1273;1346;1346;1453;1,827;12,238;43,783;278,731
LIT 400kV N0 1 CAPELLE (LA) - LONNY;52290;2196;2422;2422;2596;1,639;17,552;92,176;586,813
LIT 400kV N0 1 CAPELLE (LA) - MASTAING;60965;2570;2718;2718;2914;1,887;20,213;106,156;675,812
LIT 225kV NO 1 CARRIERES-MORU;28277;1172;1285;1285;1388;1,7;11,31;40,71;
LIT 225kV N0 1 CARRIERES - PLESSIS-GASSOT;26831;510;767;767;976;1,622;10,781;38,324;243,979
LIT 225kV NO 1 CARRIERES-TERRIER;15649;2046;2300;2300;2400;0,469;4,417;31,824;202,596
LIT 225kV NO 2 CARRIERES-TERRIER;15648;2200;2300;2300;2400;0,454;4,265;30,804;196,105
LIT 225kV NO 1 CAZARIL-JALIS;83146;828;908;908;986;6,635;33,492;118,377;753,608
LIT 225kV NO 1 CAZARIL-LANNEMEZAN;12123;828;908;908;986;1,054;5,037;16,569;105,481
LIT 225kV NO 2 CAZARIL-LANNEMEZAN;11751;1018;1117;1117;1213;0,776;4,67;16,997;108,209
LIT 225kV NO 3 CAZARIL-LANNEMEZAN;11752;1018;1117;1117;1213;0,786;4,732;17,214;109,587
LIT 400kV N0 1 CAZARIL - MARSILLON;108896;3316;3622;3622;3780;2,096;29,202;233,399;1485,863
LIT 400kV N0 1 CAZARIL - VERFEIL;121162;3255;3600;3600;3780;2,414;32,023;263,399;1676,85
LIT 400kV NO 2 CAZARIL-MARSILLON;108878;3316;3622;3622;3780;2,09;29,12;232,725;1481,576
LIT 400kV NO 2 CAZARIL-VERFEIL;121130;3255;3600;3600;3780;2,412;32,015;264,127;1681,484
